Source,Original_Sentence,Mapped_Phrases,Sentiment_Score,Dominant_Core_Node
Prajnaparamita-,"The Heart o f the Perfection of Wisdom - 2  Tasmāc Śāriputra, śūnyatāyāṁ   Therefore, Śāriputra, in emptiness     na rūpaṁ, na vedanā, na saṁjñā, na saṁskārāḥ, na vijñānam;   there is no form, no feeling, no perception, no volitional processes, no co nsciousness;     na cakṣuḥ -śrotra -ghrāna -jihvā -kāya -manāṁsi;   there are no eye, ear, nose, tongue, body or mind;     na rūpa -śabda -gandha -rasa -spraṣṭavya -dharmā ḥ;   no forms, sounds, smells, tastes, touches, thoughts;     na cakṣūr -dhātur yāvan na manovijñāna -dhātuḥ;   no eye -element (and so on) up to no mind -consciousness element;     na avidyā, na avidyā -kṣayo yāvan na jarā -maraṇam, na jarā -maraṇa -kṣayo;   no ignorance, no destruction of ignorance (and so on) up to no old age and death, no  destruction of old age and death;     na duḥkha -samudaya -nirodha -mārgā;   no suffering, arising, cessation, path;     na jñānam, na prāptir na aprāptiḥ.",heart | ROOT_ACCESS | tasm riputra | riputra nyat | nyat riputra | ROOT_ACCESS | vedan vij | vij nam | MATTER_CONCEPT | feeling perception | perception volitional | volitional processes | processes nsciousness | nsciousness cak | cak rotra | rotra -ghr | -ghr -jihv | -jihv -man | -man eye | eye ear | ear nose | nose tongue | MATTER_CONCEPT | MIND_CONCEPT | abda -gandha | -gandha -rasa | -rasa -spra | -spra avya | avya -dharm | -dharm forms | forms sounds | sounds smells | smells tastes | tastes touches | touches thoughts | thoughts cak | cak -dh | -dh tur | tur van | van manovij | manovij -dh | -dh eye | eye -element | MIND_CONCEPT | -consciousness element | element avidy | avidy avidy | avidy ayo | ayo van | van jar | jar -mara | -mara jar | jar -mara | -mara ayo | IGNORANCE_PRIOR | destruction | IGNORANCE_PRIOR | old age | IGNORANCE_PRIOR | destruction old | old age | IGNORANCE_PRIOR | kha -samudaya | -samudaya -nirodha | IGNORANCE_PRIOR | arising cessation | cessation path | path nam | nam ptir | ptir apr | apr pti,-0.9914,ROOT_ACCESS
Prajnaparamita-,"no knowledge, no attainment, no non -attainment.",knowledge attainment | attainment non | non -attainment,-0.6808,None
Prajnaparamita-,"Tasmāc Śāriputra, aprāptitvād Bodhisattvasya   Therefore, Śāriputra, because of the Buddha -to-be's non -attainments     Prajñāpāramitām āśritya, viharaty acittāvaraṇaḥ,   he relies on the Perfection of Wisdom, and dwells with his mind unobstructed,     cittāvaraṇa -nāstitvād atrastro,   having an unobstructed mind he does not tremble,     viparyāsa -atikrānto, niṣṭ hā-Nirvāṇa -prāptaḥ.",tasm riputra | riputra apr | apr ptitv | ptitv bodhisattvasya | bodhisattvasya riputra | MIND_CONCEPT | -to-be non | non -attainments | -attainments praj | praj ramit | ramit ritya | ritya viharaty | viharaty acitt | acitt vara | vara relies | ROOT_ACCESS | dwells | MIND_CONCEPT | unobstructed citt | citt vara | vara stitv | stitv atrastro | atrastro unobstructed | MIND_CONCEPT | tremble vipary | vipary -atikr | -atikr nto | nto -nirv | -nirv -pr | -pr pta,0.8322,MIND_CONCEPT
Prajnaparamita-,"overcoming opposition, he attains the state of Nirvāṇa.",overcoming opposition | opposition attains | attains state | state nirv,0.0,None
Prajnaparamita-,Tryadhva -vyavasthitāḥ sarva -Buddhāḥ   All the Buddhas abiding in the three times     Prajñāpāramitām āśritya   through relying on the Perfection of Wisdom     anuttarāṁ Samyaksambodhim  abhisambuddhāḥ.,tryadhva -vyavasthit | -vyavasthit sarva | sarva -buddh | -buddh buddhas | buddhas abiding | abiding three | three times | times praj | praj ramit | ramit ritya | ritya relying | ROOT_ACCESS | anuttar samyaksambodhim | samyaksambodhim abhisambuddh,0.7964,ROOT_ACCESS
Prajnaparamita-,fully awaken to the unsurpassed Perfect and Complete Awakening.,fully awaken | awaken unsurpassed | unsurpassed perfect | perfect complete | ROOT_ACCESS,0.5719,ROOT_ACCESS
Prajnaparamita-,"The Heart o f the Perfection of Wisdom - 3  Tasmāj jñātavyam Prajñāpāramitā mahā -mantro,   Therefore one should know the Perfection of Wisdom is a great mantra,     mahā -vidyā mantro, 'nuttara -mantro, samasama -mantraḥ,   a great scientific mantra, an unsurpassed mantra, an unmatched mantra,     sarva duḥkha praśamanaḥ, satyam, amithyatvāt.",heart | ROOT_ACCESS | tasm tavyam | tavyam praj | praj ramit | ramit mah | mah -mantro | -mantro know | ROOT_ACCESS | great mantra | mantra mah | mah -vidy | -vidy mantro | mantro nuttara | nuttara -mantro | -mantro samasama | samasama -mantra | -mantra great | great scientific | scientific mantra | mantra unsurpassed | unsurpassed mantra | mantra unmatched | unmatched mantra | mantra sarva | sarva kha | kha pra | pra amana | amana satyam | satyam amithyatv,0.9723,ROOT_ACCESS
Prajnaparamita-,"the subduer of all suffering, the truth, not falsehood.",subduer | IGNORANCE_PRIOR | ROOT_ACCESS | falsehood,-0.2023,IGNORANCE_PRIOR
Prajnaparamita-,"Prajñāpāramitāyām ukto mantraḥ tad -yathā:   In the Perfection of Wisdom the mantra has been uttered in this way:     gate, gate, pāragate, pārasaṁgate, Bodhi, svāhā!",praj ramit | ramit ukto | ukto mantra | mantra tad | tad -yath | ROOT_ACCESS | mantra uttered | uttered way | way gate | gate gate | gate ragate | ragate rasa | rasa gate | ROOT_ACCESS,0.8122,ROOT_ACCESS
Prajnaparamita-,"gone, gone, gone beyond, gone completely beyond, Awakening, blessings!",gone gone | gone gone | gone beyond | beyond gone | gone completely | completely beyond | ROOT_ACCESS | blessings,0.6194,ROOT_ACCESS
Prajnaparamita-,Iti Prajñāpāramitā -Hṛdayam Samāptam   Thus the Heart of the Perfection of Wisdom is Complete,iti praj | praj ramit | ramit dayam | dayam sam | sam ptam | ptam thus | thus heart | ROOT_ACCESS | complete,0.7964,ROOT_ACCESS
Tao Te Ching Pr,"道德经：老子原文与译文     Tao Te Ching    Original Text and   A Modern Interpretation     Yuan Zhiming       English Translation   by Daniel Baida Su and Chen Shangyu                               To LOVE   in Heaven and on Earth      CONTENTS     Preface      Chapter  1 …………….12   Chapter  2 …………….15   Chapter  3 …………….17   Chapter  4 …………….19   Chapter  5 …………….21   Chapter  6 …………….23   Chapter  7 …………….24   Chapter  8 …………….25   Chapter  9…………….27   Chapter 10 ……………29   Chapter 11 ……………31   Chapter 12 ……………33   Chapter 13 ……………34   Chapter 14 ……………36   Chapter 15 ……………3 8  Chapter 16 ……………40   Chapter 17…………… 43  Chapter 18 ……………45    Chapter 19 …………… 46  Chapter 20 …………… 48   Chapter 21 …………… 51  Chapter 22 ……………53    Chapter 23 ……………56   Chapter 24 ……………58   Chapter 25 ……………59   Chapter 26 ……………61   Chapter 27 ……………63   Chapter 28 ……………65    Chapter 29 ……………67   Chap ter 30 ……………69    Chapter 31 …………… 71  Chapter 32 …………… 73  Chapter 33 …………… 75  Chapter 34 …………… 77  Chapter 35 …………… 79  Chapter 36 ……………80    Chapter 37 …………… 82  Chapter 38 ……………84   Chapter 39 …………… 87  Chapter 40 …………… 90   Chapter 41 ……………9 1  Chapter 42 …………… 94   Chapter 43 …………… 97  Chapter 44 ……………98    Chapter 45 …………… 99  Chapter 46 …………..10 1  Chapter 47 …………..10 2  Chapter 48 ………….. 103   Chapter 49 ………… ..105  Chapter 50 …………..10 7   Chapter 51 …………..10 9  Chapter 52 …………..11 1   Chapter 53 …………..11 3  Chapter 54 …………..11 5  Chapter 55 …………..11 7  Chapter  56…………..11 9   Chapter 57 …………..12 1  Chapter 58 …………..12 3   Chapter 59 …………..12 5  Chapter 60 …………..12 7   Chapter 61 …………..12 9  Chapter 62 …………..13 1   Chapter 63 ………….. 134  Chapter 64 …………..13 6   Chapter 65 …………..1 39  Chapter 66 …………..14 1   Chapter 67 …………..14 3  Chapter 68 …………..1 45    Chapter 69 …………..1 46  Chapter 70 …………..1 48   Chapter 71 …………..1 50  Chapter 72 …………..1 51  Chapter 73 …………..15 3  Chapter 74 …………..15 5   Chapter 75 …………..1 57  Chapter 76 …………..1 59   Chapter 77 …………..1 61  Chapter 78 …………..1 63   Chapter 79 …………..1 65  Chapter 80 …………..1 67   Chapter 81 …………..1 69    Index ………………...1 71  Tao Te Ching: Original Text and A Modern Interpretation     7   Preface     To the best of my knowledge , more than one hundred English  translations of the sage Lao Tzu’s work Tao Te Ching, also referred  to as  Lao Tzu,  are extant, while there are th ousands of various Lao  Tzu interpretations in the Chinese language.",ROOT_ACCESS | ching original | original text | text modern | modern interpretation | interpretation yuan | yuan zhiming | zhiming english | english translation | translation daniel | daniel baida | baida chen | chen shangyu | shangyu love | love heaven | heaven earth | earth contents | contents preface | preface chap | chap ter | ter index | ROOT_ACCESS | ching original | original text | text modern | modern interpretation | interpretation preface | preface best | best knowledge | knowledge hundred | hundred english | english translations | translations sage | sage lao | lao tzu | tzu work | ROOT_ACCESS | ching referred | referred lao | lao tzu | tzu extant | extant ousands | ousands various | various lao | lao tzu | tzu interpretations | interpretations chinese | chinese language,0.9519,ROOT_ACCESS
Tao Te Ching Pr,"I trust, however, that  my translation is the first attempt to decipher this Chinese classic of  antiquity with references to the anci ent Hebrew and Christian Bible.",trust however | however translation | translation first | first attempt | attempt decipher | decipher chinese | chinese classic | classic antiquity | antiquity references | references anci | anci ent | ent hebrew | hebrew christian | christian bible,0.5106,None
Tao Te Ching Pr,"Lao Tzu  is an excepti onally refined example of the classic Chinese  language, with a meaning at once both profoundly mysterious and  expansive.",lao tzu | tzu excepti | excepti onally | onally refined | refined example | example classic | classic chinese | chinese language | language meaning | meaning profoundly | profoundly mysterious | mysterious expansive,0.0,None
Tao Te Ching Pr,It is difficult to clearly grasp Lao Tzu’s original intention  and even more impossible to reach consensus w ith other interpreters.,difficult clearly | clearly grasp | grasp lao | lao tzu | tzu original | original intention | intention impossible | impossible reach | reach consensus | consensus ith | ith interpreters,0.4336,None
Tao Te Ching Pr,"From a  historic point of view, huge differences have been noted  between one interpretation and the next, each tinted with the  individual interpreter’s specific worldview, mostly from the  perspectives of Confucianism, Buddhism, Legalism, Militarism,   Yin and Y ang, Neo -Conf ucianism, Marxism, and so on.",historic point | point view | view huge | huge differences | differences noted | noted interpretation | interpretation next | next tinted | tinted individual | individual interpreter | interpreter specific | specific worldview | worldview mostly | mostly perspectives | perspectives confucianism | confucianism buddhism | buddhism legalism | legalism militarism | militarism yin | yin ang | ang neo | neo -conf | -conf ucianism | ucianism marxism,0.3182,None
Tao Te Ching Pr,Lao Tzu is considered the founder of Taoism.,lao tzu | tzu considered | considered founder | founder taoism,0.0,None
Tao Te Ching Pr,"Although interpreting  Tao from the vantage point of Taoism seems natural, the Tao of Lao  Tzu and the Tao of Zhuang Tzu, for example, are far apart   in pur pose and tone.",although interpreting | ROOT_ACCESS | vantage point | point taoism | taoism seems | seems natural | ROOT_ACCESS | lao tzu | ROOT_ACCESS | zhuang tzu | tzu example | example far | far apart | apart pur | pur pose | pose tone,0.3612,ROOT_ACCESS
Tao Te Ching Pr,"Since the time of Wang Bi, another Taoist   道德经：老子原文与译文     8 at a later time, Lao Tzu’s original intention has become indiscernible .",since time | time wang | wang another | another taoist | taoist later | later time | time lao | lao tzu | tzu original | original intention | intention become | become indiscernible,0.3182,None
Tao Te Ching Pr,"Even so, the interpretation of Zhuang Tzu and Wang Bi are much  more convincing than that of others.",interpretation zhuang | zhuang tzu | tzu wang | wang much | much convincing | convincing others,0.4576,None
Tao Te Ching Pr,Why is there such diffic ulty in interpreting Lao Tzu ?,diffic ulty | ulty interpreting | interpreting lao | lao tzu,0.0,None
Tao Te Ching Pr,The answer   is that Lao Tzu himself did not totally understand Tao  and thus was  unable to express Tao with great clarity.,answer lao | lao tzu | tzu totally | totally understand | ROOT_ACCESS | thus unable | unable express | ROOT_ACCESS | great clarity,0.7783,ROOT_ACCESS
Tao Te Ching Pr,"Moreover, Lao Tzu did not  believe that  human rationality could comprehend Tao or that Tao   could be explained by human language.",moreover lao | lao tzu | tzu believe | MIND_CONCEPT | rationality could | could comprehend | ROOT_ACCESS | ROOT_ACCESS | could explained | MIND_CONCEPT | language,0.0,MIND_CONCEPT
Tao Te Ching Pr,"Until today, an age when the Christian faith has spread widely  throughout China, we finally have come to realize that there was  such an event as ―the Incarnation‖ —that Ta o became a human —and  thus Tao beca me visible, touchable, explicit, and comprehensible.",today age | age christian | christian faith | faith spread | spread widely | widely throughout | throughout china | china finally | finally come | come realize | realize event | event incarnation | incarnation became | MIND_CONCEPT | thus | ROOT_ACCESS | beca visible | visible touchable | touchable explicit | explicit comprehensible,0.4215,MIND_CONCEPT
Tao Te Ching Pr,"When I myself entered into Tao and experienced Tao’s magnificent,  miraculous divinity revealed through the life  of Jesus, a ray   of brilliant light  seemed to illuminate Lao Tzu , enabling me   to recognize the inner meaning behind each word.",entered | ROOT_ACCESS | experienced | ROOT_ACCESS | magnificent miraculous | miraculous divinity | divinity revealed | revealed life | life jesus | jesus ray | ray brilliant | ROOT_ACCESS | seemed illuminate | illuminate lao | lao tzu | tzu enabling | enabling recognize | recognize inner | inner meaning | meaning behind | behind word,0.9081,ROOT_ACCESS
Tao Te Ching Pr,"Befo re becoming a Christian, I had written  a book named Heavy  Subject  (China: People’s Publishing House, 1987), an examination  of traditional Chinese culture.",befo becoming | becoming christian | christian written | written book | book named | named heavy | heavy subject | subject china | china people | people publishing | publishing house | house examination | examination traditional | traditional chinese | chinese culture,0.0,None
Tao Te Ching Pr,One part of the book focuses on Lao  Tzu.,part book | book focuses | focuses lao | lao tzu,0.0,None
Tao Te Ching Pr,"I now frankly admit that at that time, I did not really  understand Lao Tzu .",frankly admit | admit time | time really | really understand | understand lao | lao tzu,0.2023,None
Tao Te Ching Pr,"Tao Te Ching: Original Text and A Modern Interpretation     9 It is my firm belief that there must be a spiritual source linking  ancient Hebrew civilization with ancient Chinese civilization, and  with all other ancient civilization s.  Even those who established  these ancient civilizations might not recognize this internal source.",ROOT_ACCESS | ching original | original text | text modern | modern interpretation | interpretation firm | firm belief | belief spiritual | spiritual source | source linking | linking ancient | ancient hebrew | hebrew civilization | civilization ancient | ancient chinese | chinese civilization | civilization ancient | ancient civilization | civilization established | established ancient | ancient civilizations | civilizations might | might recognize | recognize internal | internal source,0.3182,ROOT_ACCESS
Tao Te Ching Pr,"Nevertheless, the origin of this source is u nquestionably from   the One  who set all nations on one planet (Earth), and that One   is the Logo s, also known as Tao .",nevertheless origin | origin source | source nquestionably | nquestionably set | set nations | nations planet | planet earth | earth logo | logo known | ROOT_ACCESS,0.0,ROOT_ACCESS
Tao Te Ching Pr,"Through reading Lao Tzu and other Chinese ancient classics,  Western readers could discover the common root between this  unique Eastern Empire and Western civilization, and China would  cease to be a nation to be feared.",reading lao | lao tzu | tzu chinese | chinese ancient | ancient classics | classics western | western readers | readers could | could discover | discover common | ROOT_ACCESS | unique eastern | eastern empire | empire western | western civilization | civilization china | china would | would cease | cease nation | nation feared,-0.4939,ROOT_ACCESS
Tao Te Ching Pr,"In fact, they would discover that  China and other cultures both live under the same blue sky.",fact would | would discover | discover china | china cultures | cultures live | live blue | blue sky,0.0,None
Tao Te Ching Pr,"Ultimately, China yearns for the same things all peoples do.",ultimately china | china yearns | yearns peoples,0.0,None
Tao Te Ching Pr,"Our work on Lao Tzu  contains two parts: the interpretation of Lao  Tzu’s original text, Tao Te Ching , and the explication of its meaning.",work lao | lao tzu | tzu contains | contains two | two parts | parts interpretation | interpretation lao | lao tzu | tzu original | original text | ROOT_ACCESS | ching explication | explication meaning,0.3182,ROOT_ACCESS
Tao Te Ching Pr,Both parts are indispensable for readers new to Lao Tzu and his  writing.,parts indispensable | indispensable readers | readers new | new lao | lao tzu | tzu writing,0.0,None
Tao Te Ching Pr,"Once the reader understands the thick explanatory volume,  Lao Tzu and the Bible , he needs only to  focus on this thin volume,  whic h is Lao Tzu’s sublime masterpiece, Tao Te Ching.",reader understands | understands thick | thick explanatory | explanatory volume | volume lao | lao tzu | tzu bible | bible needs | needs focus | focus thin | thin volume | volume whic | whic lao | lao tzu | tzu sublime | sublime masterpiece | ROOT_ACCESS | ching,0.6249,ROOT_ACCESS
Tao Te Ching Pr,"Yuan Zhiming   May 2010   道德经：老子原文与译文     10     11 道德经：老子原文与译文1    Tao Te Ching   Original Text  and A Modern Interpretation 2    Yuan Zhiming   English Translation by Daniel Baida Su and Chen Shangyu                                                         1本译文的参考﹐除流行古本王弼﹑河上公外﹐又冯达甫﹑扬家骆﹑刘 思﹑任继愈﹑陈鼓应等﹐后者均瑰集了诸家成说。神光之下﹐广览博采﹐不拘 一格，以求融通老子微言大义。不及之处﹐破读而就﹐以道贯之。凡此﹐见 注。         2 The present translation of this book has referenced the ancient  classical translation of Wang Bi and He Shang gong, in addition to  Feng Dapu, Yang Jialuo, Liu Si, Ren Jiyu, Chen Guyin, and so forth.",yuan zhiming | ROOT_ACCESS | ching original | original text | text modern | modern interpretation | interpretation yuan | yuan zhiming | zhiming english | english translation | translation daniel | daniel baida | baida chen | chen shangyu | shangyu present | present translation | translation book | book referenced | referenced ancient | ancient classical | classical translation | translation wang | wang shang | shang gong | gong addition | addition feng | feng dapu | dapu yang | yang jialuo | jialuo liu | liu ren | ren jiyu | jiyu chen | chen guyin | guyin forth,0.3182,ROOT_ACCESS
Tao Te Ching Pr,The modern translations have assi milated previous understandings   of Lao Tzu.,modern translations | translations assi | assi milated | milated previous | previous understandings | understandings lao | lao tzu,0.0,None
Tao Te Ching Pr,"Under God’s light , this translato r has gathered from   a broad var iety of sources and ventured out of the old traditional  frameworks.",god | ROOT_ACCESS | translato gathered | gathered broad | broad var | var iety | iety sources | sources ventured | ventured old | old traditional | traditional frameworks,0.0,ROOT_ACCESS
Tao Te Ching Pr,"The living Tao  has been the thread running through the  whole process of translation, especially in difficult areas.",living | ROOT_ACCESS | thread running | running whole | whole process | process translation | translation especially | especially difficult | difficult areas,-0.4173,ROOT_ACCESS
Tao Te Ching Pr,Please  refer to the footnotes on these points.,please refer | refer footnotes | footnotes points,0.3182,None
Tao Te Ching Pr,"道德经：老子原文与译文     12   CHAPTER 1     1 Tao can be spoken of, but is not the Tao   of whom we commonly speak ;      A name  can be given, but not a common name .",ROOT_ACCESS | spoken | ROOT_ACCESS | commonly speak | speak name | name given | given common | common name,0.0,ROOT_ACCESS
Tao Te Ching Pr,"3  2 He can be called non -being ,    because he preceded Heaven and e arth;      He can be called pre -being , because he gave birth to all that is.",called non | non -being | -being preceded | preceded heaven | heaven arth | arth called | called pre | pre -being | -being gave | gave birth,0.5106,None
Tao Te Ching Pr,"3 Therefore, since he is non -being,  his wond ers   can be meditated upon;      Since he is being, his track can be seen.",since non | non -being | -being wond | wond ers | ers meditated | meditated since | since track | track seen,0.0,None
Tao Te Ching Pr,"3 This sentence is usually translated as ―Tao  that can be spoken  of is not an eternal Tao,‖ emphasizing that Tao is unspeakable.",sentence usually | usually translated | ROOT_ACCESS | spoken eternal | ROOT_ACCESS | emphasizing | ROOT_ACCESS | unspeakable,0.0772,ROOT_ACCESS
Tao Te Ching Pr,"Such  an interpretation deprives Lao Tzu of the possibility of explaining  Tao from the outset, as well as weakens the re liability of the truth   of Tao that Lao Tzu described.",interpretation deprives | deprives lao | lao tzu | tzu possibility | possibility explaining | ROOT_ACCESS | outset well | well weakens | weakens liability | ROOT_ACCESS | ROOT_ACCESS | lao tzu | tzu described,-0.34,ROOT_ACCESS
Tao Te Ching Pr,Chang （常） usually means ―usual‖   in Lao Tzu .,chang usually | usually means | means usual | usual lao | lao tzu,0.0,None
Tao Te Ching Pr,"On the other hand, Tao in Lao Tzu’s time carried various  meanings: ―road‖ as in I Ching , ―ruling principles‖ or ―methods‖   as in Shang Shu , ―speaking‖ as in Shi Jing .",hand | ROOT_ACCESS | lao tzu | tzu time | time carried | carried various | various meanings | meanings road | road ching | ching ruling | ruling principles | principles methods | methods shang | shang shu | shu speaking | speaking shi | shi jing,0.4939,ROOT_ACCESS
Tao Te Ching Pr,Introduction to Shang Shu   (it is said to have been written by Confucius) refers to Tao as ―usual  principles‖ ( 常道 ).,introduction shang | shang shu | shu written | written confucius | confucius refers | ROOT_ACCESS | usual principles,0.0,ROOT_ACCESS
Tao Te Ching Pr,"According to Feng Youlan, Tao in ancient times  usually meant human principles until Lao Tzu gave it a metaphorical  meaning.",according feng | feng youlan | ROOT_ACCESS | ancient times | times usually | usually meant | MIND_CONCEPT | principles lao | lao tzu | tzu gave | gave metaphorical | metaphorical meaning,0.0,ROOT_ACCESS
Tao Te Ching Pr,"Thus , Lao Tzu must clarify the concept of Tao at the  beginning  to make sure that his Tao is understood clearly —that is,  Lao Tzu’s Tao is not the usual Tao.",thus lao | lao tzu | tzu clarify | clarify concept | ROOT_ACCESS | beginning make | make sure | ROOT_ACCESS | understood clearly | clearly lao | lao tzu | ROOT_ACCESS | usual | ROOT_ACCESS,0.6124,ROOT_ACCESS
Tao Te Ching Pr,Let us listen to Lao  Tzu.,let listen | listen lao | lao tzu,0.0,None
Tao Te Ching Pr,"Please refer to Lao Tzu and the  Bible , Introduction IV.",please refer | refer lao | lao tzu | tzu bible | bible introduction,0.3182,None
Tao Te Ching Pr,Tao Speaks.,ROOT_ACCESS | speaks,0.0,ROOT_ACCESS
Tao Te Ching Pr,Tao Te Ching: Original Text and A Modern Interpretation     13 4 Non-being and  being are merely two terms for the one source.,ROOT_ACCESS | ching original | original text | text modern | modern interpretation | interpretation non-being | non-being merely | merely two | two terms | terms source,0.3182,ROOT_ACCESS
Tao Te Ching Pr,5 Mystery upon mystery —the gateway to all wonder s!,mystery mystery | mystery gateway | gateway wonder,0.0,None
Tao Te Ching Pr,"第一章       1 道可以说﹐但不是通常所说的道。名可以起﹐但不是通常所 起的名。   2 可以说他是无﹐因为他在天地创始之前。也可以说他是有﹐ 因为他是万物的母亲。   3 所以﹐从无的角度﹐可以揣摩他的奥妙。从有的角度﹐可以 看到他的踪迹。   4 有与无只是说法不同﹐两者其实是一回事。既是有又是无﹐ 这就叫玄。   5 玄之又玄啊，宇宙间万般奥妙的源头！     原文   1道可道﹐非常道。名可名﹐非常名 4 。                                                          4通常译为‚可以说出来的道﹐就不是永恆不变的道‛﹐强调道是不可言 说的。但这样的翻译﹐等于一开始就剥夺了老子言说真道的可能性和可靠性。 其实‚常‛字在《老子》中多为‚通常‛之意。另一方面﹐‚道‛字﹐到老子 之时﹐已经用得很泛﹕有‚道路‛之意﹐如《易经》‚履道坦坦﹐幽人贞 吉‛﹔有‚王道‛之意﹐如《尚书》‚无有作好﹐遵王之道‛﹔有‚方法‛之 意﹐如《尚书》‚我道惟宁王德延‛﹔又有‚言说‛之意﹐如《诗经》‚中冓 道德经：老子原文与译文     14 2无﹐名天地之始。有﹐名万物之母。   3故常无﹐欲以观其妙。常有﹐欲以观其徼。   4此两者同出而异名﹐同谓之玄。   5玄之又玄﹐众妙之门。                                                                                                                              之言﹐不可道也‛。《尚书序》﹘相传为孔子所作﹙说﹕‚伏牺﹑神农﹑黄帝 之书﹐谓之三坟﹐言大道也。少昊﹑颛乙﹑高辛﹑唐﹑虞之书﹐谓之五典﹐言 常道也‛。这里用了‚常道‛一词﹐指一般的道理。又有冯友兰先生考証说﹐ 古时所谓道﹐均为人道﹐到了老子才赋与道形而上学的意义。可见﹐老子要宣 示上天大道﹐必须一开始就澄清概念﹐强调他下面要讲的道﹐绝非人们一般常 指的道﹐不是一般的道理﹐即非‚常道‛﹐而是……是什么呢﹖就要听老子娓 娓道来了。     Tao Te Ching: Original Text and A Modern Interpretation     15 CHAPTER 2     1 If everyone knows beauty as beautiful,       there is already ugliness;      If everyone knows kindness as kind,   there is already evil.",ROOT_ACCESS | ching original | original text | text modern | modern interpretation | interpretation everyone | everyone knows | knows beauty | beauty beautiful | beautiful already | already ugliness | ugliness everyone | everyone knows | knows kindness | kindness kind | kind already | already evil,0.8074,ROOT_ACCESS
